filename,frame,actual_kam,predicted_kam
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,0,-0.06881883,-0.52228075
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,1,-0.24759866,-0.581939
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,2,-0.39924267,-0.5859714
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,3,-0.49131265,-0.5831991
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,4,-0.42828506,-0.4709441
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,5,-0.04280852,-0.13741452
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,6,0.7246081,0.31385273
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,7,1.6790179,0.8097668
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,8,2.462515,1.4223547
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,9,2.853431,1.8612919
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,10,2.9538836,2.490853
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,11,3.0045264,2.6664789
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,12,3.0710897,2.755237
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,13,3.0513873,2.9667947
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,14,2.9141455,3.116944
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,15,2.755859,3.2548826
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,16,2.6755595,3.3319983
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,17,2.6995924,3.3424985
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,18,2.804601,3.3701096
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,19,2.9501312,3.2977686
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,20,3.0881178,3.2768197
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,21,3.1684368,3.2882178
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,22,3.1564252,3.251766
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,23,3.0502117,3.1570132
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,24,2.880462,3.0732088
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,25,2.6989949,2.9916441
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,26,2.5528862,2.9636765
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,27,2.4582238,3.033557
