filename,peak KAM1 Actual,peak KAM1 Predict,peak KAM2 Actual,peak KAM2 Predict
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,3.1684368,3.3701096,2.5095818,3.2564347
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,3.393121,3.35961,3.0035334,3.221457
L_04e9929e-18dd-4f25-bdff-25a48efbb1ef_model.csv,2.2243392,2.1951187,1.7805443,1.9583925
L_09ed5a7a-d928-41e3-8c63-16550a28380a_model.csv,0.9705402,0.88040745,0.95546657,1.3768696
L_0a9fa79f-f8af-481b-acab-1f72b694c968_model.csv,4.1145005,2.6698,2.1724117,1.7852447
L_0b02ad63-0bec-4b8a-8087-f1771a13b07b_model.csv,5.6469293,5.729995,5.3117957,5.5452175
L_0b143401-79ad-4490-8dde-e96fc07ecfd7_model.csv,4.626467,4.7354383,1.1592243,1.4310397
L_0c457dde-032c-40b2-ab83-1fd592588b23_model.csv,0.8244074,1.5118558,0.16531803,1.6850947
L_0d8ff9a6-5baf-48c2-9263-3ed6d8191bd6_model.csv,2.481154,2.8056839,2.0679812,1.5028852
L_0df971c1-9f1e-462d-9c74-ffbad438fa23_model.csv,2.6523468,2.237073,1.8766961,1.7783746
L_0e59fce6-934b-405d-8956-8e88629fe61b_model.csv,7.560631,5.8710012,6.767574,5.881639
L_0f5d65fc-c9db-421f-8cd8-9f296cbd6fe8_model.csv,4.0603857,4.4283504,3.125688,4.145712
L_0fa43afd-d42b-4e21-8c1e-a33168b502ff_model.csv,6.2782598,5.913013,6.460489,5.8350945
L_12b9bcf4-8079-421c-9239-62ea9454c236_model.csv,4.4250226,4.662097,3.5253663,4.4020324
L_14685af5-80f5-4445-82e6-c9f029cb6978_model.csv,4.91517,4.6174164,2.685604,2.2398052
L_150a822e-4d02-43c5-813b-c4aee29cd221_model.csv,4.557075,5.032427,2.3795657,2.5915413
L_161c1e7b-92b2-41e2-9f8e-b1f80c6832b4_model.csv,3.6505246,3.4751196,4.006136,3.8868806
L_16549edb-761c-4ea0-9be9-93cfb5ffd067_model.csv,3.8758903,4.1233215,3.8857756,3.914805
L_16f5602f-4df9-4483-b665-a57cdcc3758f_model.csv,1.1560824,1.5195665,1.851158,2.1054943
L_17e47715-4427-4b4f-b482-051949a5523a_model.csv,1.8737229,4.792751,2.3677616,4.4640884
L_17eeec4e-edd9-481a-87be-b35d629cb603_model.csv,5.639406,4.930773,5.0745435,3.6839035
L_18dec793-c434-4852-b6b3-d5abbfe6df6e_model.csv,10.793587,7.9172435,9.691138,6.8680687
L_1cdb513a-7049-46e7-8a31-6c752ec30000_model.csv,0.99951667,1.2797921,0.47002462,0.71803516
L_1e695668-5a12-491a-a095-cfec2b206dea_model.csv,5.5706167,5.830121,4.9640064,4.6799374
L_1f3034b1-b94f-475f-957c-bf8bcee5bc95_model.csv,5.1264863,4.6430836,5.0678735,4.5490675
L_1ffdf709-fc55-4669-b9cf-369fe5cdfd0f_model.csv,3.9542494,4.3207846,6.1938796,6.4260554
L_22d49844-2d73-47bc-8894-4f2433cbfaca_model.csv,6.0461173,5.1704717,4.1378884,3.9857903
L_23427dc3-da00-4a83-95fb-2421374b3fed_model.csv,7.0097437,5.8256855,6.534835,5.2347
L_263989b7-686d-42bb-a860-c745550016ad_model.csv,3.837903,3.4425564,4.20727,4.3008122
L_267c0aeb-9784-441e-b2c7-b93a68f83975_model.csv,3.9826593,3.6556704,3.9813082,4.066552
L_283aa439-aad8-4451-bc0e-9694a9d43798_model.csv,5.5291557,4.88578,6.6453276,6.575285
L_285ff424-50cf-49f5-8f1d-2eb023cfc5f6_model.csv,5.7654667,6.340197,3.6701148,4.305415
L_28db7b5c-a020-4f66-aab8-c97763ffa8a4_model.csv,3.9796255,3.307505,3.8907366,3.317495
L_2a7cd00e-2e16-4b75-a766-944e83ff5e0a_model.csv,6.1704435,5.4947586,3.4271615,2.8451645
L_2be4ae44-9944-40d1-b959-e6df3e788d8f_model.csv,3.3801968,3.5330818,4.991033,4.8987646
L_333a7069-f2de-4669-993b-e08d1ece9a8f_model.csv,6.187456,5.2551794,5.232029,5.3341923
L_352b4f9b-5bc9-46af-a90b-092c09f2e77a_model.csv,4.443603,4.154346,5.2651944,5.515657
L_36dca6a6-9dd7-4fd8-b7fa-63310c13b424_model.csv,4.4391713,3.9676604,3.9082172,4.7044907
L_39785727-82c2-44e8-afa0-bf3196ada1f2_model.csv,5.140296,5.8780365,5.8803053,6.583556
L_3c61b91e-d830-4bf6-8954-0796d3b7d173_model.csv,4.437171,3.5853612,6.385454,4.932614
L_3e5b4571-955c-4fc3-bb85-20a15f7c472d_model.csv,5.349329,4.1118236,3.3223212,3.6143212
L_3f2196ca-1a70-4240-a2c7-0da387a43fbb_model.csv,3.1952448,4.2388415,0.9285963,1.5535386
L_3f5ece01-d073-4b2f-89a5-9767a1a678d4_model.csv,3.583145,2.8037965,2.3067455,3.3128912
L_4120dc04-f913-4176-9155-951001675edc_model.csv,2.295529,2.710117,2.50307,3.4211633
L_42586325-5b0f-4e2e-952a-a51f2a87ca9a_model.csv,2.690227,2.719822,1.714863,1.9639214
L_4612ab0d-cf7d-480f-b694-4e5ff9ba0754_model.csv,3.1825218,2.7235403,3.3132102,2.642502
L_4b79942c-c4f1-4cf8-8f1e-da476c2465cb_model.csv,7.5559893,6.899442,5.7399178,4.8436265
L_4e1f3cb5-13d7-4ba7-901e-0e1f4403b67f_model.csv,3.9555295,2.7433648,4.0471764,2.9652948
L_4f339f19-897b-42ab-87bf-21cac1708ef2_model.csv,3.1229124,3.546413,3.0767787,3.4039118
L_4f99fdd2-55e0-4f79-baa5-075e9ecddf33_model.csv,5.457336,5.209777,3.6671898,4.902346
L_552af8ae-ab32-4c08-860a-51e7c19acca8_model.csv,2.6952012,2.4077446,1.816171,2.1437383
L_56821530-0071-4f0f-b234-4fac75b99c40_model.csv,4.0373197,3.8820229,3.4477367,3.337786
L_57800659-7325-403d-be3a-a9e139bb32f1_model.csv,5.5153103,4.6538515,6.1264343,5.331183
L_59e5fc39-890f-4e16-bd66-4a0fdc901fac_model.csv,3.0811198,2.642908,3.7996845,3.7962973
L_5a5ea48b-318b-46ae-8c72-3075eb2573ec_model.csv,4.171304,3.4759333,3.7748759,3.836072
L_5b520fb2-4b9e-4a25-8f54-f65c9cad77a2_model.csv,4.3202553,3.5996099,6.2738547,4.5442343
L_5d643872-dc3f-420b-9226-b9e9f89beb6e_model.csv,3.5983198,3.2182517,7.5088053,6.8647213
L_5f8d7f66-37fd-4d8f-aefc-cce8cded73e3_model.csv,8.154925,7.0706043,2.8977957,3.091115
L_622789cf-c8b6-4f68-a8c0-52320abe9bfb_model.csv,3.5260255,3.588306,4.452906,4.4176583
L_62700364-9108-4098-b825-e87c6f210d0b_model.csv,2.9470458,3.7955163,2.4592483,3.5701854
L_627ff35a-b72a-4a97-8e7a-ddd1356ee124_model.csv,7.6754613,8.951348,5.834701,6.3824205
L_6671a2d1-e3a2-4094-a6e4-f09c6f7ea04f_model.csv,3.0703347,1.930589,3.1739767,2.2204535
L_67ee806d-8d6c-4466-870a-4418d602f351_model.csv,6.030318,5.594294,3.2895143,3.0557764
L_68d135a5-1e22-4c67-9dc7-eac7256683cc_model.csv,2.4460032,1.9661735,2.3420331,1.9883251
L_70295046-49d8-4700-93ec-b32a28302661_model.csv,8.626919,8.548017,6.386511,6.6819744
L_722c5317-787e-47de-b98c-5986495b527a_model.csv,4.4494295,5.7587934,1.858126,2.2720797
L_76d79dc9-dde2-4b1a-80da-468fb49036d5_model.csv,3.6372566,3.5386558,2.6122859,2.852022
