filename,peak KAM1 Actual,peak KAM1 Predict,peak KAM2 Actual,peak KAM2 Predict
L_02286562-fb94-4278-9fc9-6d6393cea6ce_model.csv,3.1684368,4.5250697,2.5095818,4.0573816
L_03e95717-2a96-4e4e-a434-1365cadc6963_model.csv,3.393121,3.8827956,3.0035334,3.3588533
L_04e9929e-18dd-4f25-bdff-25a48efbb1ef_model.csv,2.2243392,2.2489698,1.7805443,1.4395359
L_09ed5a7a-d928-41e3-8c63-16550a28380a_model.csv,0.9705402,0.61295784,0.95546657,0.6551227
L_0a9fa79f-f8af-481b-acab-1f72b694c968_model.csv,4.1145005,2.8293104,2.1724117,1.8234112
L_0b02ad63-0bec-4b8a-8087-f1771a13b07b_model.csv,5.6469293,5.7225823,5.3117957,5.0902023
L_0b143401-79ad-4490-8dde-e96fc07ecfd7_model.csv,4.626467,4.097055,1.1592243,1.1141522
L_0c457dde-032c-40b2-ab83-1fd592588b23_model.csv,0.8244074,2.165638,0.16531803,1.3252962
L_0d8ff9a6-5baf-48c2-9263-3ed6d8191bd6_model.csv,2.481154,3.0557032,2.0679812,1.6289823
L_0df971c1-9f1e-462d-9c74-ffbad438fa23_model.csv,2.6523468,2.1160927,1.8766961,1.2795244
L_0e59fce6-934b-405d-8956-8e88629fe61b_model.csv,7.560631,6.237111,6.767574,5.9470654
L_0f5d65fc-c9db-421f-8cd8-9f296cbd6fe8_model.csv,4.0603857,4.789696,3.125688,4.4039197
L_0fa43afd-d42b-4e21-8c1e-a33168b502ff_model.csv,6.2782598,5.9264226,6.460489,5.2601233
L_12b9bcf4-8079-421c-9239-62ea9454c236_model.csv,4.4250226,4.9616766,3.5253663,4.4151254
L_14685af5-80f5-4445-82e6-c9f029cb6978_model.csv,4.91517,4.6836853,2.685604,2.2968423
L_150a822e-4d02-43c5-813b-c4aee29cd221_model.csv,4.557075,5.3240676,2.3795657,3.3096592
L_161c1e7b-92b2-41e2-9f8e-b1f80c6832b4_model.csv,3.6505246,3.149789,4.006136,3.6972034
L_16549edb-761c-4ea0-9be9-93cfb5ffd067_model.csv,3.8758903,4.0624256,3.8857756,3.7013125
L_16f5602f-4df9-4483-b665-a57cdcc3758f_model.csv,1.1560824,0.80651385,1.851158,1.6840949
L_17e47715-4427-4b4f-b482-051949a5523a_model.csv,1.8737229,5.247796,2.3677616,4.7348948
L_17eeec4e-edd9-481a-87be-b35d629cb603_model.csv,5.639406,5.000229,5.0745435,5.018882
L_18dec793-c434-4852-b6b3-d5abbfe6df6e_model.csv,10.793587,9.31374,9.691138,8.02593
L_1cdb513a-7049-46e7-8a31-6c752ec30000_model.csv,0.99951667,0.5575403,0.47002462,0.36752158
L_1e695668-5a12-491a-a095-cfec2b206dea_model.csv,5.5706167,5.5368237,4.9640064,4.985485
L_1f3034b1-b94f-475f-957c-bf8bcee5bc95_model.csv,5.1264863,4.585753,5.0678735,4.839862
L_1ffdf709-fc55-4669-b9cf-369fe5cdfd0f_model.csv,3.9542494,4.7490234,6.1938796,6.4559674
L_22d49844-2d73-47bc-8894-4f2433cbfaca_model.csv,6.0461173,5.1115108,4.1378884,3.531868
L_23427dc3-da00-4a83-95fb-2421374b3fed_model.csv,7.0097437,6.347613,6.534835,6.1380005
L_263989b7-686d-42bb-a860-c745550016ad_model.csv,3.837903,3.4059143,4.20727,3.932052
L_267c0aeb-9784-441e-b2c7-b93a68f83975_model.csv,3.9826593,4.4540772,3.9813082,4.497713
L_283aa439-aad8-4451-bc0e-9694a9d43798_model.csv,5.5291557,6.1450653,6.6453276,6.957476
L_285ff424-50cf-49f5-8f1d-2eb023cfc5f6_model.csv,5.7654667,6.173456,3.6701148,4.018215
L_28db7b5c-a020-4f66-aab8-c97763ffa8a4_model.csv,3.9796255,3.7019868,3.8907366,3.1577446
L_2a7cd00e-2e16-4b75-a766-944e83ff5e0a_model.csv,6.1704435,5.3988094,3.4271615,3.1428394
L_2be4ae44-9944-40d1-b959-e6df3e788d8f_model.csv,3.3801968,3.826526,4.991033,4.973176
L_333a7069-f2de-4669-993b-e08d1ece9a8f_model.csv,6.187456,5.6643667,5.232029,6.186905
L_352b4f9b-5bc9-46af-a90b-092c09f2e77a_model.csv,4.443603,4.8664207,5.2651944,6.3132157
L_36dca6a6-9dd7-4fd8-b7fa-63310c13b424_model.csv,4.4391713,4.742525,3.9082172,4.478299
L_39785727-82c2-44e8-afa0-bf3196ada1f2_model.csv,5.140296,5.9450216,5.8803053,6.175536
L_3c61b91e-d830-4bf6-8954-0796d3b7d173_model.csv,4.437171,4.524348,6.385454,5.6124635
L_3e5b4571-955c-4fc3-bb85-20a15f7c472d_model.csv,5.349329,5.854272,3.3223212,4.122931
L_3f2196ca-1a70-4240-a2c7-0da387a43fbb_model.csv,3.1952448,3.5225582,0.9285963,1.424999
L_3f5ece01-d073-4b2f-89a5-9767a1a678d4_model.csv,3.583145,3.155808,2.3067455,3.7795448
L_4120dc04-f913-4176-9155-951001675edc_model.csv,2.295529,3.469973,2.50307,4.1320233
L_42586325-5b0f-4e2e-952a-a51f2a87ca9a_model.csv,2.690227,2.680869,1.714863,1.5559628
L_4612ab0d-cf7d-480f-b694-4e5ff9ba0754_model.csv,3.1825218,2.7302957,3.3132102,2.5743506
